"from","to"
"owl:Thing","Depth"
"owl:Thing","TopicalConcept"
"owl:Thing","Species"
"owl:Thing","ChemicalSubstance"
"owl:Thing","Unknown"
"owl:Thing","Place"
"owl:Thing","Algorithm"
"owl:Thing","Biomolecule"
"owl:Thing","List"
"owl:Thing","Medicine"
"owl:Thing","Protocol"
"owl:Thing","MedicalSpecialty"
"owl:Thing","StarCluster"
"owl:Thing","Relationship"
"owl:Thing","Demographics"
"owl:Thing","Identifier"
"owl:Thing","ElectionDiagram"
"owl:Thing","GrossDomesticProductPerCapita"
"owl:Thing","Disease"
"owl:Thing","PublicService"
"owl:Thing","Agent"
"owl:Thing","Award"
"owl:Thing","Diploma"
"owl:Thing","Statistic"
"owl:Thing","Currency"
"owl:Thing","Language"
"owl:Thing","Altitude"
"owl:Thing","Blazon"
"owl:Thing","Work"
"owl:Thing","Media"
"owl:Thing","Food"
"owl:Thing","Activity"
"owl:Thing","Cipher"
"owl:Thing","Population"
"owl:Thing","Colour"
"owl:Thing","Flag"
"owl:Thing","UnitOfWork"
"owl:Thing","MeanOfTransportation"
"owl:Thing","FileSystem"
"owl:Thing","EthnicGroup"
"owl:Thing","ChartsPlacements"
"owl:Thing","PersonFunction"
"owl:Thing","Device"
"owl:Thing","Event"
"owl:Thing","Browser"
"owl:Thing","GeneLocation"
"owl:Thing","Area"
"owl:Thing","Name"
"owl:Thing","SportCompetitionResult"
"owl:Thing","Spreadsheet"
"owl:Thing","SportsSeason"
"owl:Thing","GrossDomesticProduct"
"owl:Thing","Tank"
"owl:Thing","AnatomicalStructure"
"owl:Thing","TimePeriod"
"TopicalConcept","ScientificConcept"
"TopicalConcept","Ideology"
"TopicalConcept","TheologicalConcept"
"TopicalConcept","Tax"
"TopicalConcept","Fashion"
"TopicalConcept","Taxon"
"TopicalConcept","MathematicalConcept"
"TopicalConcept","PoliticalConcept"
"TopicalConcept","CardinalDirection"
"TopicalConcept","Genre"
"TopicalConcept","Standard"
"TopicalConcept","AcademicSubject"
"TopicalConcept","SystemOfLaw"
"TopicalConcept","PhilosophicalConcept"
"TopicalConcept","Type"
"Species","Bacteria"
"Species","Eukaryote"
"Species","Archaea"
"ChemicalSubstance","Drug"
"ChemicalSubstance","ChemicalCompound"
"ChemicalSubstance","ChemicalElement"
"ChemicalSubstance","Mineral"
"Unknown","WikimediaTemplate"
"Place","SiteOfSpecialScientificInterest"
"Place","NaturalPlace"
"Place","Garden"
"Place","CelestialBody"
"Place","CountrySeat"
"Place","PopulatedPlace"
"Place","ConcentrationCamp"
"Place","Park"
"Place","Cemetery"
"Place","WorldHeritageSite"
"Place","ProtectedArea"
"Place","WineRegion"
"Place","HistoricPlace"
"Place","ArchitecturalStructure"
"Place","Mine"
"Biomolecule","Hormone"
"Biomolecule","Lipid"
"Biomolecule","Enzyme"
"Biomolecule","Protein"
"Biomolecule","Gene"
"Biomolecule","Polysaccharide"
"List","TrackList"
"Identifier","TopLevelDomain"
"Agent","Person"
"Agent","FictionalCharacter"
"Agent","Deity"
"Agent","Family"
"Agent","Organisation"
"Agent","Employer"
"Award","Decoration"
"Award","NobelPrize"
"Language","ProgrammingLanguage"
"Work","CollectionOfValuables"
"Work","Film"
"Work","WrittenWork"
"Work","LineOfFashion"
"Work","Cartoon"
"Work","MusicalWork"
"Work","Website"
"Work","TelevisionSeason"
"Work","TelevisionEpisode"
"Work","TelevisionShow"
"Work","Document"
"Work","Database"
"Work","Artwork"
"Work","RadioProgram"
"Work","Software"
"Food","Beverage"
