Progress: 0.001% words/sec/thread:  176618 lr: 0.0849933 loss:   4.83737 ETA:   0h15m
Progress: 0.003% words/sec/thread:  336927 lr: 0.0849915 loss:   5.04273 ETA:   0h 8m
Progress: 0.006% words/sec/thread:  469212 lr: 0.0849892 loss:   5.08932 ETA:   0h 5m
Progress: 0.009% words/sec/thread:  554783 lr: 0.0849868 loss:   5.10377 ETA:   0h 4m
Progress:  0.01% words/sec/thread:  622302 lr: 0.0849842 loss:   5.11072 ETA:   0h 4m
Progress:  0.01% words/sec/thread:  665331 lr: 0.0849817 loss:   4.95199 ETA:   0h 4m
Progress:  0.02% words/sec/thread:  689794 lr: 0.0849794 loss:   4.67904 ETA:   0h 3m
Progress:  0.02% words/sec/thread:  710205 lr: 0.0849771 loss:    4.3192 ETA:   0h 3m
Progress:  0.02% words/sec/thread:  724191 lr: 0.0849748 loss:    4.0205 ETA:   0h 3m
Progress:  0.03% words/sec/thread:  739953 lr: 0.0849724 loss:   3.76622 ETA:   0h 3m
Progress:  0.03% words/sec/thread:  748813 lr: 0.0849701 loss:    3.5821 ETA:   0h 3m
Progress:  0.03% words/sec/thread:  753886 lr:  0.084968 loss:   3.44372 ETA:   0h 3m
Progress:  0.03% words/sec/thread:  763866 lr: 0.0849656 loss:   3.27635 ETA:   0h 3m
Progress:  0.04% words/sec/thread:  772316 lr: 0.0849632 loss:   3.12928 ETA:   0h 3m
Progress:  0.04% words/sec/thread:  776489 lr:  0.084961 loss:   2.98675 ETA:   0h 3m
Progress:  0.04% words/sec/thread:  779210 lr: 0.0849587 loss:   2.87378 ETA:   0h 3m
Progress:  0.04% words/sec/thread:  784001 lr: 0.0849564 loss:   2.75555 ETA:   0h 3m
Progress:  0.05% words/sec/thread:  789357 lr: 0.0849541 loss:    2.6365 ETA:   0h 3m
Progress:  0.05% words/sec/thread:  795648 lr: 0.0849516 loss:   2.53074 ETA:   0h 3m
Progress:  0.05% words/sec/thread:  800081 lr: 0.0849493 loss:   2.42186 ETA:   0h 3m
Progress:  0.06% words/sec/thread:  803923 lr: 0.0849469 loss:   2.31866 ETA:   0h 3m
Progress:  0.06% words/sec/thread:  806631 lr: 0.0849446 loss:   2.23179 ETA:   0h 3m
Progress:  0.06% words/sec/thread:  808524 lr: 0.0849423 loss:   2.13935 ETA:   0h 3m
Progress:  0.06% words/sec/thread:  810410 lr:   0.08494 loss:   2.04651 ETA:   0h 3m
Progress:  0.07% words/sec/thread:  814831 lr: 0.0849375 loss:   1.95974 ETA:   0h 3m
Progress:  0.07% words/sec/thread:  817542 lr: 0.0849352 loss:   1.88094 ETA:   0h 3m
Progress:  0.07% words/sec/thread:  821346 lr: 0.0849327 loss:    1.8123 ETA:   0h 3m
Progress:  0.08% words/sec/thread:  823743 lr: 0.0849303 loss:   1.75506 ETA:   0h 3m
Progress:  0.08% words/sec/thread:  827894 lr: 0.0849278 loss:   1.70631 ETA:   0h 3m
Progress:  0.08% words/sec/thread:  831387 lr: 0.0849253 loss:   1.65255 ETA:   0h 3m
Progress:  0.08% words/sec/thread:  836307 lr: 0.0849227 loss:   1.61682 ETA:   0h 3m
Progress:  0.09% words/sec/thread:  840836 lr:   0.08492 loss:   1.66681 ETA:   0h 3m
Progress:  0.09% words/sec/thread:  842164 lr: 0.0849177 loss:   1.70245 ETA:   0h 3m
Progress:  0.09% words/sec/thread:  844586 lr: 0.0849152 loss:   1.73397 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  845828 lr: 0.0849128 loss:   1.76777 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  848780 lr: 0.0849102 loss:   1.79782 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  848961 lr:  0.084908 loss:   1.81981 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  850744 lr: 0.0849055 loss:   1.84167 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  851841 lr: 0.0849031 loss:   1.88184 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  853608 lr: 0.0849007 loss:   1.91071 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  854043 lr: 0.0848983 loss:   1.92777 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  856383 lr: 0.0848958 loss:   1.96391 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  858563 lr: 0.0848932 loss:   1.98289 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  859489 lr: 0.0848908 loss:   2.00089 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  860262 lr: 0.0848884 loss:   2.01453 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  861119 lr:  0.084886 loss:   2.03654 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  862833 lr: 0.0848835 loss:   2.06575 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  864170 lr:  0.084881 loss:   2.08487 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  865570 lr: 0.0848785 loss:   2.10115 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  866850 lr: 0.0848761 loss:   2.11276 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  867959 lr: 0.0848736 loss:   2.13041 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  868632 lr: 0.0848712 loss:    2.1557 ETA:   0h 3m
Progress:   0.1% words/sec/thread:  869048 lr: 0.0848688 loss:    2.1685 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  869931 lr: 0.0848664 loss:   2.18927 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  871254 lr: 0.0848638 loss:   2.21165 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  872450 lr: 0.0848613 loss:    2.2151 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  873956 lr: 0.0848588 loss:    2.2265 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  874671 lr: 0.0848563 loss:   2.23625 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  875416 lr: 0.0848538 loss:   2.23553 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  875325 lr: 0.0848515 loss:   2.27341 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  875285 lr: 0.0848492 loss:   2.28182 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  874562 lr:  0.084847 loss:   2.28554 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  874859 lr: 0.0848446 loss:   2.29542 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  874175 lr: 0.0848424 loss:   2.29581 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  873763 lr: 0.0848401 loss:   2.34951 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  873241 lr: 0.0848379 loss:   2.31409 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  873274 lr: 0.0848355 loss:   2.28474 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  873226 lr: 0.0848332 loss:   2.27737 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  873151 lr: 0.0848309 loss:   2.29637 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  872836 lr: 0.0848286 loss:   2.28871 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  872017 lr: 0.0848265 loss:   2.28398 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  871206 lr: 0.0848243 loss:   2.27134 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  870416 lr: 0.0848221 loss:   2.27154 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  868606 lr: 0.0848202 loss:   2.24927 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  867743 lr:  0.084818 loss:   2.24375 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  867483 lr: 0.0848158 loss:    2.2331 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  867798 lr: 0.0848134 loss:   2.25142 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  868810 lr: 0.0848109 loss:   2.27578 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  869372 lr: 0.0848084 loss:   2.28918 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  869668 lr:  0.084806 loss:   2.29405 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  870181 lr: 0.0848036 loss:   2.29111 ETA:   0h 3m
